"ID";"ENSEIGNE";"NUMERO ET LIBELLE DE VOIE";"COMPLEMENT";"CODE POSTAL";"COMMUNE"
157;"Tabac";"4 rue bernard ganglof";;"01160";"PONT-D'AIN"
158;"Tabac";"route de neuville - oussiat";;"01160";"PONT-D'AIN"
159;"Tabac";"83 rue marechal de lattre";;"01190";"PONT-DE-VAUX"
160;"Tabac";"12 rue andre";;"01190";"PONT-DE-VAUX"
161;"Tabac";"5 rue marechal de lattre";;"01190";"PONT-DE-VAUX"
162;"Tabac";"65 grande rue";;"01290";"PONT-DE-VEYLE"
163;"La Truite A L'ombre";"156 grande rue de la côtière";;"01160";"PRIAY"
164;"Tabac";"le village";;"01510";"PUGIEU"
165;"Tabac";"1227 route du creux";;"01750";"REPLONGES"
166;"Tabac";"4 rue de la place";;"01600";"REYRIEUX"
167;"Tabac";"la croisee";;"01380";"SAINT-ANDRE-DE-BAGE"
168;"Tabac";"101 route de bourg";;"01390";"SAINT-ANDRE-DE-CORCY"
169;"Vival";"353 avenue suzanne valadon";;"01600";"SAINT-BERNARD"
170;"Tabac";"1250 avenue de trévoux";;"01000";"SAINT-DENIS-LES-BOURG"
171;"Tabac";"5 rue du docteur charcot";;"01780";"SAINT-DENIS-EN-BUGEY"
172;"Tabac";"13 place de l eglise";;"01140";"SAINT-DIDIER-SUR-CHALARONN"
173;"Tabac";"371 b rue centrale";;"01370";"SAINT-ETIENNE-DU-BOIS"
174;"Relais Du Formans";"route d'ars";;"01600";"SAINTE-EUPHEMIE"
175;"Tabac";"rue du commerce";;"01130";"SAINT-GERMAIN-DE-JOUX"
176;"Tabac";"259 grande rue";;"01640";"SAINT-JEAN-LE-VIEUX"
177;"Tabac";"le bourg";;"01560";"SAINT-JEAN-SUR-REYSSOUZE"
178;"Tabac";"125 grande rue";;"01560";"SAINT-JULIEN-SUR-REYSSOUZE"
179;"Le Saint Just";"4 place du centre";;"01250";"SAINT-JUST"
180;"Tabac";"46 rue de la levee";;"01750";"SAINT-LAURENT-SUR-SAONE"
181;"Tabac";"17 route de montrevel";;"01310";"SAINT-MARTIN-LE-CHATEL"
182;"Tabac";"1 place d'arménie";;"01700";"SAINT-MAURICE-DE-BEYNOST"
183;"Tabac";"la place";;"01800";"SAINT-MAURICE-DE-GOURDANS"
184;"Restaurant De La Place";"67 place saint exupery";;"01500";"SAINT-MAURICE-DE-REMENS"
185;"Restaurant L Informel";"le bourg";;"01560";"SAINT-NIZIER-LE-BOUCHOUX"
186;"Tabac";"rue de la dombes";;"01240";"SAINT-PAUL-DE-VARAX"
187;"Chez Pippo";"78 rue docteur temporal";;"01230";"SAINT-RAMBERT-EN-BUGEY"
188;"Tabac - Corgenon";"112 route de trévoux";;"01310";"BUELLAS"
189;"La Pouponne";"117 grande rue";;"01150";"SAINT-SORLIN-EN-BUGEY"
190;"Tabac";"12 grande rue";;"01560";"SAINT-TRIVIER-DE-COURTES"
191;"Tabac Presse Utingeois";"1 place de la mairie";;"01990";"SAINT-TRIVIER-SUR-MOIGNANS"
192;"Tabac";"1 rue de l'eglise";;"01470";"SERRIERES-DE-BRIORD"
193;"Tabac";"le village";;"01240";"SERVAS"
194;"Tabac";"le village";;"01400";"SULIGNAT"
195;"Tabac";"2 place du pont";;"01230";"TENAY"
196;"Vival";"251 rue de la mairie";;"01120";"THIL"
197;"Tabac";"centre commercial val thoiry";;"01710";"THOIRY"
198;"Le P'tit Megot";"17 grande rue";;"01140";"THOISSEY"
199;"Tabac";"place du champ de foire";;"01370";"TREFFORT-CUISIAT"
200;"Tabac";"5 grande rue";;"01600";"TREVOUX"
201;"Tabac Du Palais";"8 rue du palais";;"01600";"TREVOUX"
202;"Tabac";"le bourg";;"01660";"VANDEINS"
203;"Marine Boutik";"rue de l'église";;"01150";"VAUX-EN-BUGEY"
204;"--";"80 rue alphonse daudet";"Veyziat-tabac-le Saint Clair";"01100";"OYONNAX"
205;"Tabac";"747 avenue charles de gaulle ";;"01330";"VILLARS-LES-DOMBES"
206;"Le Valion";"100 route de villefranche";;"01480";"VILLENEUVE"
207;"Tabac";"4 place de la gare";;"01250";"VILLEREVERSURE"
208;"Tabac";"61 rue de la gare";;"01800";"VILLIEU-LOYES-MOLLON"
209;"Tabac";"319 rue prosper convert";;"01440";"VIRIAT"
210;"Le Papyrus";"64 rue de la gare";;"01510";"VIRIEU-LE-GRAND"
211;"Epicerie Proxi";"40 rue du commerce";;"01300";"VIRIGNIN"
212;"Tabac";"28 rue claude morel";;"01540";"VONNAS"
213;"Hotel Restaurant Marinet";"369 rue du bugey";;"01200";"CHATILLON-EN-MICHAILLE"
214;"Tabac";"30 rue du général messimy";;"01800";"CHARNOZ-SUR-AIN"
215;"Maison De La Presse ";"4 route de lyon";;"01630";"SAINT-GENIS-POUILLY"
216;"Tabac";"12 place des deportes";;"01100";"OYONNAX"
217;"La Duchesse De Savoie";"168 bis boulevard de brou";;"01000";"BOURG-EN-BRESSE"
218;"Tabac";"9 bd irene joliot curie";;"01000";"BOURG-EN-BRESSE"
219;"Tabac";"24 rue normandie niemen";;"01100";"OYONNAX"
220;"Librairie Du Lycee";"65 rue de versoix";;"01210";"FERNEY-VOLTAIRE"
221;"Tabac";"2-2b rue robert schuman";;"01000";"BOURG-EN-BRESSE"
222;"Tabac";"34 rue castellion";;"01100";"OYONNAX"
223;"Le Detour";"243 rue du bourg";;"01480";"MESSIMY-SUR-SAONE"
224;"Resto'kev Le Pichet";"485 rue philibert le beau";"Lieu Dit Marcillieux Tabac";"01150";"SAINT-VULBAS"
225;"Tabac";"20 avenue fp de douglas";;"01460";"MONTREAL-LA-CLUSE"
226;"Bar Tabac De La Bascule";"13 route de lyon";;"01390";"CIVRIEUX"
227;"Tabac";"308 rue louis françois jambon";;"01250";"TOSSIAT"
228;"Tabac";"le village";;"01390";"TRAMOYES"
229;"Vival";"50 place de la forge";;"01210";"VERSONNEX"
230;"Epicerie Du Platane";"42 place aristide briand ";;"01120";"NIEVROZ"
231;"Tabac";"le village";;"01250";"MONTAGNAT"
232;"L'estanco";"rue des rondes";;"01800";"PEROUGES"
233;"La Genetiere";"parc de la genetiere";;"01600";"MASSIEUX"
234;"Tabac";"143 place limelette";;"01480";"JASSANS-RIOTTIER"
235;"Tabac";"c cial les arcades";;"01210";"ORNEX"
236;"Tabac";"autoroute a 40";;"01250";"JASSERON"
237;"Tabac";"88 chemin de l eglise";;"01280";"PREVESSIN-MOENS"
238;"Les Residences De Cessy-tabac-";"rue de la mairie";;"01170";"CESSY"
239;"Tabac";"place de la mairie";;"01150";"BLYES"
240;"Vival";"rue de la poste";;"01800";"SAINT-JEAN-DE-NIOST"
241;"Vival";"immeuble les tamaris";"Allee Des Lauriers-tabac-";"01390";"SAINT-MARCEL"
242;"Tabac";"le bourg";;"01480";"SAVIGNEUX"
243;"Auberge De L'appeum";"508 grande rue";;"01090";"FRANCHELEINS"
244;"Tabac";"zac du pre des saules";;"01810";"BELLIGNAT"
245;"Tabac";"230 briand-stresemann";;"01710";"THOIRY"
246;"--";"1 rue marcel vion";"Immeuble Vion-tabac-";"01800";"MEXIMIEUX"
247;"Club Cafe Lounge";"le bourg";;"01090";"MONTCEAUX"
248;"Epicerie Vival";"route principale";;"01300";"SAINT-BENOIT"
249;"Tabac Du Tiret";"108 rue alexandre berard";;"01500";"AMBERIEU-EN-BUGEY"
250;"Tabac";"centre commercial les vertes campagnes";;"01170";"GEX"
251;"Tabac- Cc La Licorne";"46 rue rené nicod";;"01100";"OYONNAX"
252;"Vival";"370 gr gigniez";;"01420";"CORBONOD"
253;"Au Bon Accueil";"75 rue charles de gaulle";;"02800";"ACHERY"
254;"Tabac";"25 rue du 7e bca";;"02320";"PINON"
255;"Tabac";"17 ld bellevue";;"02500";"ANY-MARTIN-RIEUX"
256;"Le Cafe De La Place";"7 rue tour de place";;"02000";"AULNOIS-SOUS-LAON"
257;"Tabac";"11 rue du pave";;"02160";"BEAURIEUX"
258;"La Rotonde";"13 route de tergnier";;"02800";"BEAUTOR"
259;"Tabac";"1 rue du canal";;"02800";"BEAUTOR"
260;"Le Chambellan";"9. place violet";;"02200";"BELLEU"
261;"Tabac";"39 rue de picardie";;"02420";"BELLICOURT"
262;"Le National";"14 avenue du general de gaulle";;"02190";"BERRY-AU-BAC"
263;"A La Tete Noire";"14 rue anne morgan";;"02300";"BLERANCOURT"
264;"--";"8 place du general de gaulle";;"02110";"BOHAIN-EN-VERMANDOIS"
265;"Tabac";"1 rue paulin pecqueux";;"02110";"BOHAIN-EN-VERMANDOIS"
266;"L'estaris";"8 place michel pezin";;"02110";"BOHAIN-EN-VERMANDOIS"
267;"Garage Carluy";"13. rue des hauts vents";;"02350";"BONCOURT"
268;"La Tabatiere";"2 rue du rejet";;"02450";"BOUE"
269;"Tabac";"place du rond-point";;"02160";"BOURG-ET-COMIN"
270;"Le Maryland";"1 place du 8 mai 1945";;"02110";"BRANCOURT-LE-GRAND"
271;"Le Nemrod Cafe";"18 rue quinquet";;"02880";"BUCY-LE-LONG"
272;"Chez Sandrine";"30 route nationale";;"02620";"BUIRONFOSSE"
273;"Tabac Le Longchamp";"63 avenue du general de gaulle";;"02260";"CAPELLE"
274;"Tabac";"20 rue du general augereau";;"02420";"CATELET"
275;"Tabac";"12 rue jean-jaures";;"02000";"CHAMBRY"
276;"Tabac";"2 rue de laon";;"02860";"CHAMOUILLE"
277;"Tabac";"6 place de la mairie";;"02370";"CHASSEMY"
278;"Tabac Le Chiquito";"3 rue drugeon lecart";;"02400";"CHATEAU-THIERRY"
279;"Le Gaulois";"74 grande rue";;"02400";"CHATEAU-THIERRY"
280;"Le Terminus";"4 rue de chierry";;"02400";"CHATEAU-THIERRY"
281;"Le 4";"4 rue saint martin";;"02400";"CHATEAU-THIERRY"
282;"Tabac";"36 rue du village saint martin";;"02400";"CHATEAU-THIERRY"
283;"Tabac";"90 avenue de soissons";;"02400";"CHATEAU-THIERRY"
284;"Tabac Le Capricorne";"44 rue pasteur";;"02300";"CHAUNY"
285;"Le Picard";"26 place du brouage";;"02300";"CHAUNY"
286;"Le Brazza";"103 rue de la chaussee";;"02300";"CHAUNY"
287;"La Rotonde";"23 place hotel de ville";;"02300";"CHAUNY"
288;"Le Balto";"12 place du marche couvert";;"02300";"CHAUNY"
289;"Tabac Le Fontenoy";"67 rue ganton";;"02300";"CHAUNY"
290;"Multiservices";"5 rue giraudolle";;"02000";"CHAVIGNON"
291;"Tabac Hotel De L'est";"9 rue de l ormet";;"02330";"CONDE-EN-BRIE"
292;"Tabac";"5 rue du pot d etain";;"02380";"COUCY-LE-CHATEAU-AUFFRIQUE"
293;"Tabac";"103 rue principale";;"02840";"COUCY-LES-EPPES"
294;"Tabac Le Papa Galop";"18 rue malezieux briquet";;"02870";"CREPY"
295;"Tabac";"1 avenue du general patton";;"02880";"CROUY"
296;"Tabac";"13 rue du belvedere";;"02880";"CUFFIES"
297;"Tabac Le Lutetia";"75 rue de crecy";;"02800";"DANIZY"
298;"Le Carre D'as";"1 rue churchill";;"02400";"ESSOMES-SUR-MARNE"
299;"Au Bon Coin";"4 rue nervo";;"02400";"ETAMPES-SUR-MARNE"
300;"Tabac Chez Jeannot";"30 route de paris";;"02000";"ETOUVELLES"
301;"Le Welcome";"24 avenue jean jaures";;"02700";"TERGNIER"
302;"Le Rio Major";"9 rue du general de gaulle";;"02800";"FERE"
